Location,Date and Time,Coordinates,Magnitude and Depth,Event Type,ID,Source
M: 3.9 - Myanmar,2024-08-19 06:14:56 IST,"25.19, 96.42","Magnitude: M: 3.9, Depth: D: 60km",Reviewed,N3RhZ0FJTWZDWkpvN0RVY0VWWnFkUT09,RISEQ
"M: 3.0 - Wokha, Nagaland",2024-08-19 03:39:46 IST,"26.02, 94.14","Magnitude: M: 3.0, Depth: D: 5km",Reviewed,cG0wSkhoWFcvbWtlMjZXR3dOeFI4dz09,RISEQ
M: 4.3 - Afghanistan,2024-08-18 16:27:06 IST,"36.51, 70.27","Magnitude: M: 4.3, Depth: D: 175km",Reviewed,MmYvUEVQQnJkQ283OURtN2Q0Z1hFZz09,RISEQ
"M: 1.9 - East Delhi, Delhi",2024-08-18 12:44:39 IST,"28.61, 77.26","Magnitude: M: 1.9, Depth: D: 10km",Reviewed,VzlOMVErbGhQLzZPbEJkSDVnckRPZz09,RISEQ
M: 4.2 - Myanmar,2024-08-18 11:14:37 IST,"23.14, 96.17","Magnitude: M: 4.2, Depth: D: 10km",Reviewed,TU85VVdRL252eXZrcVZQdTFVZjVxdz09,RISEQ
M: 4.2 - Afghanistan,2024-08-18 04:21:55 IST,"36.54, 70.67","Magnitude: M: 4.2, Depth: D: 200km",Reviewed,aDk3TE1GUW44aHpqSy9aUkJoeUgydz09,RISEQ
"M: 4.2 - Muzaffarabad, Jammu & Kashmir",2024-08-18 03:03:33 IST,"34.41, 73.66","Magnitude: M: 4.2, Depth: D: 10km",Reviewed,dGFPN2l2ZHpnWFQrVWs1dTQ3QTNWUT09,RISEQ
M: 3.9 - Afghanistan,2024-08-17 07:52:10 IST,"36.77, 72.35","Magnitude: M: 3.9, Depth: D: 30km",Reviewed,REwrSGNkZ2Y3YXE4WktadlhtVjloUT09,RISEQ
"M: 3.6 - Palghar, Maharashtra",2024-08-17 06:35:41 IST,"19.87, 72.76","Magnitude: M: 3.6, Depth: D: 10km",Reviewed,T0R5RFNraDBTOXMvR0NvWEgwMmRkZz09,RISEQ
M: 3.9 - Afghanistan,2024-08-16 18:29:16 IST,"36.71, 72.18","Magnitude: M: 3.9, Depth: D: 10km",Reviewed,Y3V3NXNLY1dkNHpZa29DU1BTYTJTQT09,RISEQ
M: 3.5 - Myanmar,2024-08-16 13:36:47 IST,"25.03, 95.14","Magnitude: M: 3.5, Depth: D: 155km",Reviewed,dkZRRFJJY1RSNXNIbFIxQUh6UDVadz09,RISEQ
M: 4.4 - Xizang,2024-08-16 08:45:58 IST,"28.52, 86.83","Magnitude: M: 4.4, Depth: D: 130km",Reviewed,amd5Sm03TUMzWDlEdGNEMFFuY3FlZz09,RISEQ
M: 4.8 - Afghanistan,2024-08-16 06:35:16 IST,"37.09, 71.17","Magnitude: M: 4.8, Depth: D: 130km",Reviewed,SW11QW1YUEJRTCtUK1JBSXVTM1hiUT09,RISEQ
M: 3.8 - Xizang,2024-08-16 03:10:59 IST,"31.67, 84.82","Magnitude: M: 3.8, Depth: D: 10km",Reviewed,K3FOUmx4dVIzSm52Uk1Xd0ZJR1ZsUT09,RISEQ
"M: 2.6 - Longleng, Nagaland",2024-08-15 17:07:57 IST,"26.45, 94.71","Magnitude: M: 2.6, Depth: D: 5km",Reviewed,Y2ZuZ1JTaEhNd2FQUENSWDI1c05jUT09,RISEQ
M: 4.0 - Afghanistan,2024-08-15 10:44:04 IST,"36.67, 71.66","Magnitude: M: 4.0, Depth: D: 180km",Reviewed,dWpVbTBKcmRlVU8xaHBoUmR2K1VpZz09,RISEQ
M: 3.9 - Myanmar,2024-08-15 04:36:51 IST,"25.31, 94.71","Magnitude: M: 3.9, Depth: D: 87km",Reviewed,Y3hTS21uZUpud2dDa2dEcE9hNFRPdz09,RISEQ
"M: 5.1 - Hindu Kush, Afghanistan",2024-08-15 01:06:11 IST,"36.20, 70.86","Magnitude: M: 5.1, Depth: D: 150km",Reviewed,NWtFM0JkbEh3bGRZSnZsRDRncEJSZz09,RISEQ
M: 4.6 - Afghanistan,2024-08-14 19:39:06 IST,"36.70, 71.59","Magnitude: M: 4.6, Depth: D: 200km",Reviewed,UHVjTVRwSjU5RDZaRGtPUjh6dDNodz09,RISEQ
"M: 3.7 - East Jaintia Hills, Meghalaya",2024-08-14 10:55:22 IST,"25.23, 92.42","Magnitude: M: 3.7, Depth: D: 10km",Reviewed,cjlRWkFub3BnZnhuN1c0N2c0enVuZz09,RISEQ
"M: 3.5 - Kathua, Jammu & Kashmir",2024-08-13 15:44:20 IST,"32.52, 75.35","Magnitude: M: 3.5, Depth: D: 5km",Reviewed,ZWN5QldoUTV5SG1ERkE5MGJjOGVqQT09,RISEQ
M: 3.2 - Bhutan,2024-08-13 08:48:03 IST,"26.96, 91.96","Magnitude: M: 3.2, Depth: D: 30km",Reviewed,RzVrb1pZbnhsWGlOL3IzTmFDSWVRZz09,RISEQ
M: 3.6 - Myanmar,2024-08-13 03:21:19 IST,"24.98, 95.34","Magnitude: M: 3.6, Depth: D: 80km",Reviewed,SnpjY2NocmFMR2IxZmdzVDFpTEdzZz09,RISEQ
"M: 2.7 - Pithoragarh, Uttarakhand",2024-08-12 21:38:46 IST,"30.04, 80.08","Magnitude: M: 2.7, Depth: D: 5km",Reviewed,SUlXbmpJWlViQmU2ZTFwck1WRGRxUT09,RISEQ
"Central Alaska, , ",2024-09-23T02:58:05Z,,"Magnitude: 1.8 magnitude, Depth: 0.0",,,Earthquaketrack
"La Serena, Coquimbo, Chile, , ",2024-09-23T02:36:39Z,,"Magnitude: 5.4 magnitude, Depth: nan",,,Earthquaketrack
"South Of Fiji Islands, , ",2024-09-23T02:14:52Z,,"Magnitude: 4.4 magnitude, Depth: 584.0",,,Earthquaketrack
"Central Alaska, , ",2024-09-23T02:12:35Z,,"Magnitude: 1.9 magnitude, Depth: 0.0",,,Earthquaketrack
"Volcano, Hawaii, United States, , , ",2024-09-23T01:43:33Z,,"Magnitude: 2.2 magnitude, Depth: nan",,,Earthquaketrack
"Santa Isabel, Santa Isabel Municipio, Puerto Rico, , , ",2024-09-23T01:42:25Z,,"Magnitude: 2.3 magnitude, Depth: nan",,,Earthquaketrack
"Volcano, Hawaii, United States, , , ",2024-09-23T01:33:24Z,,"Magnitude: 2.3 magnitude, Depth: nan",,,Earthquaketrack
"Ridgeway, Alaska, United States, , , ",2024-09-23T01:27:38Z,,"Magnitude: 1.7 magnitude, Depth: nan",,,Earthquaketrack
"Pāhala, Hawaii, United States, , , ",2024-09-23T01:06:58Z,,"Magnitude: 2.0 magnitude, Depth: nan",,,Earthquaketrack
"Soledad, California, United States, , , ",2024-09-23T01:00:38Z,,"Magnitude: 1.7 magnitude, Depth: nan",,,Earthquaketrack
"Stanton, Texas, United States, , , ",2024-09-23T00:17:21Z,,"Magnitude: 2.6 magnitude, Depth: nan",,,Earthquaketrack
"Pāhala, Hawaii, United States, , , ",2024-09-23T00:01:21Z,,"Magnitude: 2.0 magnitude, Depth: nan",,,Earthquaketrack
"Van Horn, Texas, United States, , , ",2024-09-22T23:58:56Z,,"Magnitude: 2.2 magnitude, Depth: nan",,,Earthquaketrack
"Greenfield, California, United States, , , ",2024-09-22T23:31:22Z,,"Magnitude: 2.0 magnitude, Depth: nan",,,Earthquaketrack
"Desert Aire, Washington, United States, , ",2024-09-22T23:25:24Z,,"Magnitude: 2.0 magnitude, Depth: nan",,,Earthquaketrack
"Fiji, , ",2024-09-22T23:11:05Z,,"Magnitude: 4.7 magnitude, Depth: 535.0",,,Earthquaketrack
"King City, California, United States, , , ",2024-09-22T23:02:20Z,,"Magnitude: 1.6 magnitude, Depth: nan",,,Earthquaketrack
"Villa Park, California, United States, , , ",2024-09-22T22:45:53Z,,"Magnitude: 1.5 magnitude, Depth: nan",,,Earthquaketrack
"Van Horn, Texas, United States, , , ",2024-09-22T22:42:46Z,,"Magnitude: 2.2 magnitude, Depth: nan",,,Earthquaketrack
"Loving, New Mexico, United States, , , ",2024-09-22T22:42:22Z,,"Magnitude: 2.2 magnitude, Depth: nan",,,Earthquaketrack
"Redway, California, United States, , , ",2024-09-22T22:42:16Z,,"Magnitude: 1.6 magnitude, Depth: nan",,,Earthquaketrack
"Bay Point, California, United States, , , ",2024-09-22T22:39:29Z,,"Magnitude: 1.5 magnitude, Depth: nan",,,Earthquaketrack
"Ontario, California, United States, , , ",2024-09-22T21:07:21Z,,"Magnitude: 1.9 magnitude, Depth: nan",,,Earthquaketrack
"Volcano, Hawaii, United States, , , ",2024-09-22T21:05:49Z,,"Magnitude: 1.8 magnitude, Depth: nan",,,Earthquaketrack
"Kodiak Station, Alaska, United States, , , ",2024-09-22T20:51:25Z,,"Magnitude: 2.1 magnitude, Depth: nan",,,Earthquaketrack
"Mauritius   Reunion, , ",2024-09-22T20:42:35Z,,"Magnitude: 5.4 magnitude, Depth: 10.0",,,Earthquaketrack
"Van Horn, Texas, United States, , , ",2024-09-22T20:39:27Z,,"Magnitude: 2.1 magnitude, Depth: nan",,,Earthquaketrack
"Guayanilla, Guayanilla, Puerto Rico, , , ",2024-09-22T20:32:05Z,,"Magnitude: 2.5 magnitude, Depth: nan",,,Earthquaketrack
"Pāhala, Hawaii, United States, , , ",2024-09-22T20:16:40Z,,"Magnitude: 2.1 magnitude, Depth: nan",,,Earthquaketrack
"Shasta, California, United States, , , ",2024-09-22T20:15:04Z,,"Magnitude: 2.2 magnitude, Depth: nan",,,Earthquaketrack
"74 Km NNE from Disa, In Rajasthan",18/09/2024,"24.903, 72.356","Magnitude: 3.4, Depth: 10.0",,1,ISR
"10 Km NNE from Bhachau, Kachchh",17/09/2024,"23.381, 70.393","Magnitude: 2.7, Depth: 24.4",,2,ISR
"14 Km NNE from Dudhai, Kachchh",12/09/2024,"23.439, 70.104","Magnitude: 2.5, Depth: 22.1",,3,ISR
"19 Km NNE from Bhachau, Kachchh",02/09/2024,"23.465, 70.359","Magnitude: 3.3, Depth: 21.7",,4,ISR
"20 Km WSW from Rapar, Kachchh",01/09/2024,"23.57, 70.442","Magnitude: 3.3, Depth: 24.0",,5,ISR
"30 Km ENE from Khavda, Kachchh",01/02/2024,"24.014, 69.954","Magnitude: 4.0, Depth: 15.2",,6,ISR
"21 Km NNW from Bhachau, Kachchh",28/01/2024,"23.472, 70.252","Magnitude: 4.0, Depth: 14.4",,7,ISR
"59 Km NNE from Dholavira, Kachchh (In Pakistan)",05/01/2024,"24.396, 70.318","Magnitude: 4.1, Depth: 2.0",,8,ISR
"19 Km WSW from Rapar, Kachchh",08/12/2023,"23.504, 70.474","Magnitude: 4.2, Depth: 18.5",,9,ISR
"29 Km NNW from Dudhai, Kachchh",02/11/2023,"23.573, 70.095","Magnitude: 4.1, Depth: 15.0",,10,ISR
"53 Km NNE from Vav, North Gujarat (In Rajasthan)",06/08/2023,"24.713, 71.869","Magnitude: 4.2, Depth: 10.0",,11,ISR
"39 Km NNE from Khavda, Kachchh",17/05/2023,"24.191, 69.792","Magnitude: 4.2, Depth: 1.3",,12,ISR
"11 Km NNE from Dudhai, Kachchh",30/01/2023,"23.391, 70.191","Magnitude: 4.2, Depth: 25.5",,13,ISR
"13 Km NNE from Talala, Saurashtra",02/05/2022,"21.157, 70.584","Magnitude: 4.0, Depth: 4.8",,14,ISR
"136 Km NNE from Palanpur, In Rajasthan",16/11/2021,"25.242, 73.081","Magnitude: 4.1, Depth: 10.0",,15,ISR
174 kmSWfromPort Blair,"Sep 22, 2024 00:12(Kolkata)",,Magnitude: M 4.3,,,Earthquakelist
168 kmSWfromPort Blair,"Sep 21, 2024 22:11(Kolkata)",,Magnitude: M 4.9,,,Earthquakelist
82 kmNfromDārjiling,"Sep 21, 2024 21:12(Kolkata)",,Magnitude: M 3.1,,,Earthquakelist
15 kmEfromRohtak,"Sep 21, 2024 17:14(Kolkata)",,Magnitude: M 2.8,,,Earthquakelist
122 kmNEfromGuwahati,"Sep 21, 2024 14:13(Kolkata)",,Magnitude: M 2.8,,,Earthquakelist
84 kmEfromImphāl,"Sep 20, 2024 23:18(Kolkata)",,Magnitude: M 3.5,,,Earthquakelist
148 kmEfromDehra Dūn,"Sep 20, 2024 13:32(Kolkata)",,Magnitude: M 2.6,,,Earthquakelist
58 kmNWfromSilchar,"Sep 19, 2024 16:07(Kolkata)",,Magnitude: M 3.4,,,Earthquakelist
169 kmSWfromPort Blair,"Sep 19, 2024 10:50(Kolkata)",,Magnitude: M 5.5,,,Earthquakelist
82 kmNfromBārmer,"Sep 19, 2024 00:38(Kolkata)",,Magnitude: M 3.1,,,Earthquakelist
180 kmNEfromBareilly,"Sep 18, 2024 09:53(Kolkata)",,Magnitude: M 3.8,,,Earthquakelist
58 kmNNEfromSilchar,"Sep 18, 2024 04:09(Kolkata)",,Magnitude: M 2.5,,,Earthquakelist
79 kmESEfromSrinagar,"Sep 18, 2024 02:04(Kolkata)",,Magnitude: M 2.7,,,Earthquakelist
200 kmNWfromSiliguri,"Sep 17, 2024 16:46(Kolkata)",,Magnitude: M 3.3,,,Earthquakelist
153 kmEfromSrinagar,"Sep 17, 2024 00:31(Kolkata)",,Magnitude: M 3.4,,,Earthquakelist
86 kmWNWfromDimāpur,"Sep 16, 2024 15:44(Kolkata)",,Magnitude: M 2.7,,,Earthquakelist
185 kmNNEfromGuwahati,"Sep 16, 2024 04:14(Kolkata)",,Magnitude: M 3.5,,,Earthquakelist
167 kmSEfromAizawl,"Sep 15, 2024 19:47(Kolkata)",,Magnitude: M 4.3,,,Earthquakelist
105 kmEfromImphāl,"Sep 15, 2024 13:25(Kolkata)",,Magnitude: M 3.6,,,Earthquakelist
101 kmWSWfromGuwahati,"Sep 15, 2024 00:50(Kolkata)",,Magnitude: M 2.7,,,Earthquakelist
272 kmNfromBahraigh,"Sep 14, 2024 23:51(Kolkata)",,Magnitude: M 4.4,,,Earthquakelist
26 kmWfromRaurkela,"Sep 14, 2024 14:54(Kolkata)",,Magnitude: M 3.4,,,Earthquakelist
162 kmEfromSrinagar,"Sep 14, 2024 08:01(Kolkata)",,Magnitude: M 3.8,,,Earthquakelist
248 kmEfromPort Blair,"Sep 13, 2024 14:52(Kolkata)",,Magnitude: M 4.7,,,Earthquakelist
